id;sexo;edad;deses16;deses17;deses18;deses19;satis16;satis19
650;2;49;1;2;2;1;4;4
651;1;41;1;2;1;1;4;4
652;1;55;1;1;NA;NA;4;NA
653;2;26;2;2;1;2;5;4
654;2;53;2;2;2;3;2;2
655;2;25;2;2;2;1;2;3
656;2;45;1;2;2;1;3;4
657;2;35;4;2;3;2;2;4
658;1;47;2;2;2;1;4;4
659;2;41;2;3;1;2;1;4
660;1;35;1;1;2;2;NA;3
661;2;32;2;2;NA;NA;3;NA
662;2;46;1;4;1;NA;5;NA
663;1;69;1;1;2;2;4;3
664;2;51;1;2;1;4;2;4
665;1;49;1;2;2;3;3;3
666;1;25;1;2;3;4;3;4
667;1;25;1;2;1;NA;4;NA
668;1;27;1;2;3;NA;2;NA
669;2;68;1;1;1;4;5;3
670;1;54;2;1;3;1;4;4
671;1;35;2;1;NA;NA;4;NA
672;2;49;2;2;1;2;4;5
673;1;59;1;1;1;3;3;4
674;2;67;2;2;NA;NA;4;NA
675;2;53;3;2;2;2;3;2
676;1;58;3;1;1;NA;4;NA
677;2;35;4;3;NA;2;3;3
678;2;64;1;1;2;2;5;2
679;1;58;1;NA;NA;NA;1;NA
680;2;43;1;1;NA;NA;5;NA
681;2;73;1;3;NA;1;4;5
682;2;49;2;5;3;4;4;2
683;1;50;2;1;1;1;3;4
684;1;29;4;1;1;3;4;3
685;2;26;1;2;2;NA;4;NA
686;2;25;2;NA;NA;NA;4;NA
687;2;27;2;1;3;1;3;5
688;2;21;1;1;NA;NA;4;NA
689;1;24;2;2;2;NA;4;NA
690;2;46;2;1;2;4;4;5
691;2;55;2;NA;NA;NA;5;NA
692;2;66;1;1;1;2;4;4
693;2;67;2;NA;NA;NA;4;NA
694;2;43;4;1;4;4;1;5
695;2;57;4;1;1;4;1;5
696;2;52;2;1;2;2;1;4
697;1;33;2;NA;2;1;1;5
698;1;69;2;1;1;1;4;4
699;2;33;1;1;NA;NA;4;NA
700;2;49;1;1;2;1;4;5
701;2;49;2;1;2;1;4;5
702;2;32;1;NA;1;NA;4;NA
703;1;27;1;1;4;1;1;4
704;2;30;2;1;NA;3;1;2
705;1;39;1;NA;NA;NA;3;NA
706;2;54;2;2;3;2;1;5
707;2;38;2;NA;NA;NA;4;NA
708;2;46;2;2;2;3;4;1
709;2;55;2;2;2;3;4;4
710;1;41;1;NA;2;NA;4;NA
711;2;31;1;2;NA;NA;4;NA
712;2;19;1;NA;NA;NA;4;NA
713;2;66;1;3;2;2;4;4
714;1;33;1;NA;NA;NA;2;NA
715;2;47;2;2;2;4;1;4
716;1;48;1;1;1;2;4;4
717;2;36;2;3;4;NA;2;NA
718;1;46;1;1;1;1;4;4
719;2;20;1;NA;NA;NA;3;NA
720;2;56;4;1;2;2;2;5
721;2;64;1;NA;NA;5;4;4
722;1;20;1;NA;2;NA;1;NA
723;1;37;3;NA;NA;NA;2;NA
724;1;49;1;1;1;2;1;3
725;2;52;2;2;NA;4;3;5
